,series,food,day
C0C,C0,cellulose,10
1C3A,1C,cellulose,3
1C3B,1C,cellulose,3
1C5A,1C,cellulose,5
1C5B,1C,cellulose,5
1C7A,1C,cellulose,7
1C7B,1C,cellulose,7
1C10A,1C,cellulose,10
1C10B,1C,cellulose,10
1C20B,1C,cellulose,20
1C20A,1C,cellulose,20
2C3A,2C,cellulose,3
2C3B,2C,cellulose,3
2C5A,2C,cellulose,5
2C5B,2C,cellulose,5
2C10A,2C,cellulose,10
2C10B,2C,cellulose,10
1M3A,1M,malate,3
1M3B,1M,malate,3
1M3C,1M,malate,3
1M5C,1M,malate,5
1M5A,1M,malate,5
1M5B,1M,malate,5
1M7A,1M,malate,7
1M7B,1M,malate,7
1M7C,1M,malate,7
1M10A,1M,malate,10
1M10B,1M,malate,10
1M10C,1M,malate,10
2M3A,2M,cellulose,3
2M3B,2M,cellulose,3
2M3C,2M,cellulose,3
2M5A,2M,cellulose,5
2M5B,2M,cellulose,5
2M7A,2M,cellulose,7
2M7B,2M,cellulose,7
2M7C,2M,cellulose,7
2M10B,2M,cellulose,10
2M10A,2M,cellulose,10
2M10C,2M,cellulose,10
3M3A,3M,cellulose,3
3M3B,3M,cellulose,3
3M3C,3M,cellulose,3
3M5A,3M,cellulose,5
3M5B,3M,cellulose,5
3M5C,3M,cellulose,5
3M7A,3M,cellulose,7
3M7B,3M,cellulose,7
3M7C,3M,cellulose,7
3M10A,3M,cellulose,10
3M10B,3M,cellulose,10
3M10C,3M,cellulose,10
1G3A,1G,glucose,3
1G3B,1G,glucose,3
1G3C,1G,glucose,3
1G5A,1G,glucose,5
1G5B,1G,glucose,5
1G5C,1G,glucose,5
1G7A,1G,glucose,7
1G7B,1G,glucose,7
1G7C,1G,glucose,7
1G10A,1G,glucose,10
1G10B,1G,glucose,10
1G10C,1G,glucose,10
2G3A,2G,cellulose,3
2G3B,2G,cellulose,3
2G3C,2G,cellulose,3
2G5A,2G,cellulose,5
2G5B,2G,cellulose,5
2G5C,2G,cellulose,5
2G7A,2G,cellulose,7
2G7B,2G,cellulose,7
2G7C,2G,cellulose,7
2G10A,2G,cellulose,10
2G10B,2G,cellulose,10
2G10C,2G,cellulose,10
3G3A,3G,cellulose,3
3G3B,3G,cellulose,3
3G3C,3G,cellulose,3
3G5A,3G,cellulose,5
3G5B,3G,cellulose,5
3G5C,3G,cellulose,5
3G7A,3G,cellulose,7
3G7B,3G,cellulose,7
3G7C,3G,cellulose,7
3G10A,3G,cellulose,10
3G10B,3G,cellulose,10
