,3M3A,3M3B,3M3C,3M5B,3M5C,3M5A,3M7A,3M7B,3M7C,3M10A,3M10B,3M10C
0,0.1897709439397242,0.10652182344834628,0.3384956120353901,-0.39697512162390364,0.2038943089752297,-0.1841356964011634,0.20857469263904763,0.2240681541835061,0.3691517536198553,0.5393002776669384,-0.02883815760497344,0.2886751345948128
1,0.34807437402231056,-0.10075942180037749,-0.15127814555387226,-0.06725792892744031,0.19746705391803637,-0.13279632417529053,0.08975484610864265,-0.0575490476273653,0.31718730871428585,-0.021967490251239792,-0.7673743829387193,0.2886751345948115
2,-0.22374405490128305,0.06396768244990779,-0.45738220510917793,0.3671333144121515,0.1746983200564306,-0.4542694990610166,0.4596189089460303,0.0888721562941524,0.048847458335296794,-0.14785873571389357,-0.19558038173005093,-0.288675134594813
3,-0.2472161610507304,0.033181081456905466,-0.19558175735489416,-0.16624784033883563,0.08568930196727596,0.08779805983304928,0.04587823296767285,0.18847373330564934,-0.09037578611637333,-0.7090211994541978,-0.47434388771006986,-0.2886751345947856
4,-0.22721922552267743,-0.0781165939606629,-0.01678729924666617,0.000921157996952458,0.09163426383315187,-0.4952593023174382,-0.35689314731806593,-0.6739270475312298,0.21698796094249484,0.026558033971107828,0.1989232716061721,0.13927666052486054
5,-0.15306479868981882,-0.24492406638987968,-0.3097579101352032,0.8871733629879557,-0.002618972694035012,0.10060128130508364,0.08314406797112121,0.062099960422514755,-0.013864966304460276,0.082252773211298,-0.029507545000453796,0.06950943154289041
6,-0.8767695436231574,-0.3282855597800209,-0.18047214355575514,-0.0859233967251662,0.014744510063982376,0.1097423262352057,0.15655367147839624,0.07221410517346524,0.11351500242884967,0.12816766583341727,0.10373657922136433,0.03862825282471952
7,-0.0971329989902359,-0.08504026795483116,-0.6165007038545278,-0.6067115913718067,0.47866135784529584,-0.0293855282190599,-0.0293855282190599,-0.0293855282190599,-0.02938552821905988,-0.02938552821905991,-0.02938552821905991,-0.02938552821905991
8,-0.19969568807938817,-0.12345159626106038,0.23939874801116923,0.02382292936822353,-0.22300865301781267,-0.22300865301781267,-0.1450104606914149,-0.15609359158473285,0.6563617127039081,0.5351687497837531,0.14922161039940074,0.051572315109925645
9,-0.16998473500630443,0.0040412884486405575,0.38571717168010183,-0.019912273358337052,0.7837236360037808,-0.1799648073805788,-0.3287964398889483,-0.1508891206070008,0.1008391582293203,-0.020484850302675665,-0.0958926243365341,-0.15699161518734467
10,-0.18504837924441817,0.5531487495405359,-0.13901343503143895,0.05035294305135897,0.3108099950316525,-0.2298557231015486,-0.015602096536871723,-0.31815323597889933,0.2517022290273855,0.5625966045196092,-0.07398972724028603,-0.04097022750534236
