,test_id,R2,p_value,p_value_dispersion,adjusted_p_value,significant
1,all_cluster_OTU-level,0.252827252257134,9.99900009999e-05,0.939,9.99900009999e-05,TRUE
8,i_vs_m_OTU-level,0.194283150344014,9.99900009999e-05,0.663,9.99900009999e-05,TRUE
9,i_vs_m_species,0.25397240923482,9.99900009999e-05,0.171,9.99900009999e-05,TRUE
10,i_vs_m_genus,0.288760428528388,9.99900009999e-05,0.851,9.99900009999e-05,TRUE
11,i_vs_m_family,0.267749822877658,9.99900009999e-05,0.768,9.99900009999e-05,TRUE
12,i_vs_m_order,0.266835061065932,9.99900009999e-05,0.841,9.99900009999e-05,TRUE
13,i_vs_m_class,0.31110665794342,9.99900009999e-05,0.647,9.99900009999e-05,TRUE
14,i_vs_m_phylum,0.366613705175207,9.99900009999e-05,0.575,9.99900009999e-05,TRUE
15,i_vs_l_OTU-level,0.217688838528379,9.99900009999e-05,0.849,9.99900009999e-05,TRUE
22,l_vs_m_OTU-level,0.192609754585163,9.99900009999e-05,0.926,9.99900009999e-05,TRUE
23,l_vs_m_species,0.209287939247769,9.99900009999e-05,0.208,9.99900009999e-05,TRUE
25,l_vs_m_family,0.171556831205932,9.99900009999e-05,0.055,9.99900009999e-05,TRUE
31,all_focused.cluster_genus,0.498606823837413,9.99900009999e-05,0.121,9.99900009999e-05,TRUE
32,all_focused.cluster_family,0.511931076754897,9.99900009999e-05,0.181,9.99900009999e-05,TRUE
33,all_focused.cluster_order,0.509144164457842,9.99900009999e-05,0.603,9.99900009999e-05,TRUE
34,all_focused.cluster_class,0.544555623043947,9.99900009999e-05,0.347,9.99900009999e-05,TRUE
35,all_focused.cluster_phylum,0.617184607275504,9.99900009999e-05,0.542,9.99900009999e-05,TRUE
40,i_focused.cluster_order,0.291753972034987,9.99900009999e-05,0.183,9.99900009999e-05,TRUE
41,i_focused.cluster_class,0.284893913046522,9.99900009999e-05,0.067,9.99900009999e-05,TRUE
42,i_focused.cluster_phylum,0.288956290809689,9.99900009999e-05,0.164,9.99900009999e-05,TRUE
43,m_focused.cluster_OTU-level,0.203429572361382,9.99900009999e-05,0.489,9.99900009999e-05,TRUE
44,m_focused.cluster_species,0.229455424595889,9.99900009999e-05,0.568,9.99900009999e-05,TRUE
45,m_focused.cluster_genus,0.249215824637945,9.99900009999e-05,0.498,9.99900009999e-05,TRUE
46,m_focused.cluster_family,0.246850852491329,9.99900009999e-05,0.277,9.99900009999e-05,TRUE
47,m_focused.cluster_order,0.237273181714961,9.99900009999e-05,0.392,9.99900009999e-05,TRUE
48,m_focused.cluster_class,0.265955624890867,9.99900009999e-05,0.701,9.99900009999e-05,TRUE
49,m_focused.cluster_phylum,0.303791763849594,9.99900009999e-05,0.648,9.99900009999e-05,TRUE
50,l_focused.cluster_OTU-level,0.233581563927573,9.99900009999e-05,0.245,9.99900009999e-05,TRUE
51,l_focused.cluster_species,0.314205668032232,9.99900009999e-05,0.567,9.99900009999e-05,TRUE
52,l_focused.cluster_genus,0.372250207535962,9.99900009999e-05,0.429,9.99900009999e-05,TRUE
53,l_focused.cluster_family,0.427241607066425,9.99900009999e-05,0.529,9.99900009999e-05,TRUE
54,l_focused.cluster_order,0.444597394023262,9.99900009999e-05,0.642,9.99900009999e-05,TRUE
55,l_focused.cluster_class,0.457857894004426,9.99900009999e-05,0.48,9.99900009999e-05,TRUE
56,l_focused.cluster_phylum,0.590486198429869,9.99900009999e-05,0.644,9.99900009999e-05,TRUE
58,pG_vs_pM_species,0.252239581095775,9.99900009999e-05,0.456,9.99900009999e-05,TRUE
59,pG_vs_pM_genus,0.241845764671637,9.99900009999e-05,0.695,9.99900009999e-05,TRUE
60,pG_vs_pM_family,0.27664488205662,9.99900009999e-05,0.704,9.99900009999e-05,TRUE
61,pG_vs_pM_order,0.20186071644532,9.99900009999e-05,0.806,9.99900009999e-05,TRUE
62,pG_vs_pM_class,0.159695756445708,0.0011998800119988,0.65,0.0011998800119988,TRUE
63,pG_vs_pM_phylum,0.189057026576721,0.0010998900109989,0.667,0.0010998900109989,TRUE
64,mC_vs_mM_OTU-level,0.194192947019863,0.0006999300069993,0.376,0.0006999300069993,TRUE
65,mC_vs_mM_species,0.231455370124848,9.99900009999e-05,0.74,9.99900009999e-05,TRUE
66,mC_vs_mM_genus,0.251611909612379,0.0001999800019998,0.52,0.0001999800019998,TRUE
67,mC_vs_mM_family,0.232992246683234,9.99900009999e-05,0.304,9.99900009999e-05,TRUE
68,mC_vs_mM_order,0.232451793562594,0.0002999700029997,0.303,0.0002999700029997,TRUE
69,mC_vs_mM_class,0.270274470610033,0.000999900009999,0.489,0.000999900009999,TRUE
70,mC_vs_mM_phylum,0.325958927810323,0.0004999500049995,0.505,0.0004999500049995,TRUE
71,mC_vs_mG_OTU-level,0.157659697766997,0.0006999300069993,0.947,0.0006999300069993,TRUE
72,mC_vs_mG_species,0.198034291901581,0.0008999100089991,0.565,0.0008999100089991,TRUE
73,mC_vs_mG_genus,0.214888222309357,0.0001999800019998,0.311,0.0001999800019998,TRUE
74,mC_vs_mG_family,0.244972481904191,0.0001999800019998,0.145,0.0001999800019998,TRUE
75,mC_vs_mG_order,0.223346761039434,0.0011998800119988,0.225,0.0011998800119988,TRUE
76,mC_vs_mG_class,0.249603169622875,0.0013998600139986,0.456,0.0013998600139986,TRUE
77,mC_vs_mG_phylum,0.339721750368641,9.99900009999e-05,0.881,9.99900009999e-05,TRUE
78,mG_vs_mM_OTU-level,0.133348165529192,0.0037996200379962,0.285,0.0037996200379962,TRUE
79,mG_vs_mM_species,0.126304826376145,0.0040995900409959,0.359,0.0040995900409959,TRUE
80,mG_vs_mM_genus,0.13752541514477,0.0022997700229977,0.462,0.0022997700229977,TRUE
81,mG_vs_mM_family,0.12111486071647,0.0093990600939906,0.443,0.0093990600939906,TRUE
82,mG_vs_mM_order,0.114329508096868,0.0363963603639636,0.656,0.0363963603639636,TRUE
83,mG_vs_mM_class,0.121753951071729,0.0493950604939506,0.96,0.0493950604939506,TRUE
85,lC_vs_lM_OTU-level,0.238460696094828,0.0007999200079992,0.328,0.0007999200079992,TRUE
86,lC_vs_lM_species,0.361063785205166,0.0014998500149985,0.518,0.0014998500149985,TRUE
87,lC_vs_lM_genus,0.418806760931865,0.0016998300169983,0.498,0.0016998300169983,TRUE
88,lC_vs_lM_family,0.482456537738136,0.0025997400259974,0.616,0.0025997400259974,TRUE
89,lC_vs_lM_order,0.543478633005791,0.000999900009999,0.502,0.000999900009999,TRUE
90,lC_vs_lM_class,0.540405706757229,0.0015998400159984,0.582,0.0015998400159984,TRUE
91,lC_vs_lM_phylum,0.676121950487218,0.000999900009999,0.876,0.000999900009999,TRUE
92,lC_vs_lG_OTU-level,0.182577618039927,9.99900009999e-05,0.051,9.99900009999e-05,TRUE
93,lC_vs_lG_species,0.224904846719398,9.99900009999e-05,0.281,9.99900009999e-05,TRUE
94,lC_vs_lG_genus,0.279885617107589,9.99900009999e-05,0.19,9.99900009999e-05,TRUE
95,lC_vs_lG_family,0.333973131611951,9.99900009999e-05,0.261,9.99900009999e-05,TRUE
96,lC_vs_lG_order,0.309488532451019,9.99900009999e-05,0.372,9.99900009999e-05,TRUE
97,lC_vs_lG_class,0.368903668191735,0.0002999700029997,0.2,0.0002999700029997,TRUE
98,lC_vs_lG_phylum,0.53530958293925,0.0002999700029997,0.522,0.0002999700029997,TRUE
99,lG_vs_lM_OTU-level,0.147462824613239,0.0015998400159984,0.713,0.0015998400159984,TRUE
100,lG_vs_lM_species,0.202168465407618,0.0027997200279972,0.811,0.0027997200279972,TRUE
101,lG_vs_lM_genus,0.237120893205279,0.0014998500149985,0.613,0.0014998500149985,TRUE
102,lG_vs_lM_family,0.259287969903315,0.0027997200279972,0.632,0.0027997200279972,TRUE
103,lG_vs_lM_order,0.272204908667093,0.0026997300269973,0.963,0.0026997300269973,TRUE
104,lG_vs_lM_class,0.241908038933817,0.0024997500249975,0.631,0.0024997500249975,TRUE
105,lG_vs_lM_phylum,0.218355975415976,0.0020997900209979,0.307,0.0020997900209979,TRUE
106,lC_vs_pG_OTU-level,0.314165483994848,9.99900009999e-05,0.174,9.99900009999e-05,TRUE
109,lC_vs_pG_family,0.288873208109143,9.99900009999e-05,0.071,9.99900009999e-05,TRUE
110,lC_vs_pG_order,0.310168002517631,0.0001999800019998,0.065,0.0001999800019998,TRUE
112,lC_vs_pG_phylum,0.374834572376345,0.0001999800019998,0.236,0.0001999800019998,TRUE
118,lC_vs_pM_class,0.271993392890595,9.99900009999e-05,0.061,9.99900009999e-05,TRUE
119,lC_vs_pM_phylum,0.318931490659926,0.0001999800019998,0.122,0.0001999800019998,TRUE
120,lC_vs_mC_OTU-level,0.298037091400884,0.0005999400059994,0.223,0.0005999400059994,TRUE
121,lC_vs_mC_species,0.319399399158015,0.0006999300069993,0.293,0.0006999300069993,TRUE
122,lC_vs_mC_genus,0.323822064684583,0.0005999400059994,0.2,0.0005999400059994,TRUE
123,lC_vs_mC_family,0.27341360433387,0.0006999300069993,0.61,0.0006999300069993,TRUE
124,lC_vs_mC_order,0.28170410712112,0.0003999600039996,0.809,0.0003999600039996,TRUE
125,lC_vs_mC_class,0.310820086567816,0.000999900009999,0.391,0.000999900009999,TRUE
126,lC_vs_mC_phylum,0.500326217871875,0.0003999600039996,0.368,0.0003999600039996,TRUE
127,lC_vs_mG_OTU-level,0.337942473164122,0.0002999700029997,0.188,0.0002999700029997,TRUE
128,lC_vs_mG_species,0.374371473332608,0.0002999700029997,0.165,0.0002999700029997,TRUE
129,lC_vs_mG_genus,0.425193476809376,0.0001999800019998,0.067,0.0001999800019998,TRUE
130,lC_vs_mG_family,0.446494819820478,0.0002999700029997,0.164,0.0002999700029997,TRUE
131,lC_vs_mG_order,0.410765784514245,9.99900009999e-05,0.193,9.99900009999e-05,TRUE
132,lC_vs_mG_class,0.449334400476192,0.0001999800019998,0.096,0.0001999800019998,TRUE
133,lC_vs_mG_phylum,0.616076422184068,9.99900009999e-05,0.287,9.99900009999e-05,TRUE
134,lC_vs_mM_OTU-level,0.28303126748073,0.0001999800019998,0.672,0.0001999800019998,TRUE
135,lC_vs_mM_species,0.33374632496393,9.99900009999e-05,0.369,9.99900009999e-05,TRUE
136,lC_vs_mM_genus,0.384256234519471,0.0001999800019998,0.067,0.0001999800019998,TRUE
137,lC_vs_mM_family,0.409202582558871,9.99900009999e-05,0.288,9.99900009999e-05,TRUE
138,lC_vs_mM_order,0.40141935000074,0.0001999800019998,0.265,0.0001999800019998,TRUE
139,lC_vs_mM_class,0.473038111888482,0.0001999800019998,0.156,0.0001999800019998,TRUE
140,lC_vs_mM_phylum,0.599508993778407,0.0001999800019998,0.627,0.0001999800019998,TRUE
